story, subject, saccadeLength, saccadeCount, averageSaccadeDuration

1,1,33000.44458419217,356,324.3792134831461
1,2,41440.040394869735,428,367.8107476635514
1,3,26425.389863447897,250,529.128
1,4,28096.22612076186,317,672.602523659306
1,5,29532.760594754636,281,516.7153024911032
1,6,31059.79253713324,339,557.3746312684366

3,1,22504.161955274918,246,336.1626016260163
3,2,34375.311294300336,375,411.3786666666667
3,3,20922.258024681243,203,567.2758620689655
3,4,25651.074594998492,293,722.2935153583618
3,6,30723.670985799323,352,506.14204545454544

6,1,61391.463620208255,726,247.76997245179064
6,2,65231.94238372838,771,378.23865110246436
6,3,42884.96824240328,405,580.9037037037037
6,4,45205.37468286275,510,657.2137254901961
6,5,39903.10700569445,401,487.20947630922694
6,6,63188.49704072082,843,350.0782918149466
